sample id	Sequencing run	Sampling date	Sampling duration (min)	area	Sampling number	DZMZ Lfd Nummer	DSMZ Probe 	DSMZ Barcode	DSMZ Index	Object number SPK	Object number MfN	Spot number	Sample	Institution	Collection	Type of room	Object	Material	Stone type	Color	Inv. number	Spot	Height	Touched	Comments	Comments 2
L1	first	10/8/2020	1	small	1		L_1	29	1	1		1	1	SPK	VAM	exhibition	Gate Lion right Sam'al	Stone	Basalt/Dolerite		VA 2718	tooth	1.6	x	touched	
L2	first	10/8/2020	1	small	2		L_2	1	1	1		1	2	SPK	VAM	exhibition	Gate Lion right Sam'al	Stone	Basalt/Dolerite		VA 2718	tooth	1.6	x	touched	
L3	first	10/8/2020	1	small	3		L_3	30	1	1		2	1	SPK	VAM	exhibition	Gate Lion right Sam'al	Stone	Basalt/Dolerite		VA 2718	back	1.6		untouched	
L4	first	10/8/2020	1	small	4		L_4	2	1	1		2	2	SPK	VAM	exhibition	Gate Lion right Sam'al	Stone	Basalt/Dolerite		VA 2718	back	1.6		untouched	
L5	first	10/8/2020	1	small	5		L_5	31	1	2		3	1	SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		VA 2719	tooth	1.6	x	touched	
L6	first	10/8/2020	1	small	6		L_6	3	1	2		3	2	SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		VA 2719	tooth	1.6	x	touched	
L7	first	10/8/2020	1	small	7		L_7	32	1	2		4	1	SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		VA 2719	back	1.6		untouched	
L8	first	10/8/2020	1	small	8		L_8	4	1	2		4	2	SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		VA 2719	back	1.6		untouched	
L9	first	10/8/2020	1	small	9		L_9	33	1	3		5	1	SPK	VAM	exhibition	Procession Street, left side	Glazed Ceramic		white		white tile, lower band, ca. 30 cm (low), 4. from left	0.3		upper part	
L10	first	10/8/2020	1	small	10		L_10	5	1	3		5	2	SPK	VAM	exhibition	Procession Street, left side	Glazed Ceramic		white		white tile, lower band, ca. 30 cm (low), 4. from left	0.3		lower part	
L11	first	10/8/2020	1	small	11		L_11	34	1	3		6	1	SPK	VAM	exhibition	Procession Street, left side	Glazed Ceramic		white		white tile, 2. band, ca. 90 cm (middle), 4. from left	0.9	(x)	upper part	
L12	first	10/8/2020	1	small	12		L_12	29	2	3		6	2	SPK	VAM	exhibition	Procession Street, left side	Glazed Ceramic		white		white tile, 2. band, ca. 90 cm (middle), 4. from left	0.9	(x)	lower part	
L13	first	10/8/2020	1	small	13		L_13	35	1	3		7	1	SPK	VAM	exhibition	Procession Street, left side	Glazed Ceramic		white		white tile, above back of lion (high) relief	1.8		upper part	
L14	first	10/8/2020	1	small	14		L_14	30	2	3		7	2	SPK	VAM	exhibition	Procession Street, left side	Glazed Ceramic		white		white tile, above back of lion (high)relief	1.8		lower part	
L15	first	10/8/2020	1	small	15		L_15	36	1	3		8	1	SPK	VAM	exhibition	Procession Street, left side	Glazed Ceramic		white		white tile, (very high) band	2.5		sampling size ca. 4x2 cm;  lower part	
L16	first	10/8/2020	1	small	16		L_16	31	2	3		8	2	SPK	VAM	exhibition	Procession Street, left side	Glazed Ceramic		white		white tile, (very high) band	2.5		sampling size ca. 4x2 cm;  upper part	
L17	first	10/8/2020	1		17		L_17	32	2	4		9	1	SPK	VAM	exhibition		Air				Air			reference	
L18	first	10/8/2020	1		18		L_18	37	1	4		9	2	SPK	VAM	exhibition		Air				Air			reference	
L19	first	10/8/2020	1	small	19		L_19	38	1	5		10	1	SPK	VAM	exhibition	Ishtar Gate, right side	Glazed Ceramic		blue		Blue tile (splinter), low level, right of 2. flower			same splinter but different parts	
