sample-id	sampling_number	object_number	spot_number	sample	institution	collection	type_of_room	object	material	type_of_stone	inv_number	spot	comments	weight
L_1	1	1	1	1	SPK	VAM	exhibition	Gate Lion right Sam'al	Stone	Basalt/Dolerite		tooth	touched	ok
L_2	2	1	1	2	SPK	VAM	exhibition	Gate Lion right Sam'al	Stone	Basalt/Dolerite		tooth	touched	ok
L_3	3	1	2	1	SPK	VAM	exhibition	Gate Lion right Sam'al	Stone	Basalt/Dolerite		back	untouched	ok
L_4	4	1	2	2	SPK	VAM	exhibition	Gate Lion right Sam'al	Stone	Basalt/Dolerite		back	untouched	ok
L_5	5	2	3	1	SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		tooth	touched	ok
L_6	6	2	3	2	SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		tooth	touched	ok
L_7	7	2	4	1	SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		back	untouched	too low
L_8	8	2	4	2	SPK	VAM	exhibition	Gate Lion left Sam'al	Stone	Basalt/Dolerite		back	untouched	ok
L_9	9	3	5	1	SPK	VAM	exhibition	"Procession Street, left side"	Glazed Ceramic			"white tile, lower band, ca. 30 cm (low), 4. from left"	upper part	too low
L_10	10	3	5	2	SPK	VAM	exhibition	"Procession Street, left side"	Glazed Ceramic			"white tile, lower band, ca. 30 cm (low), 4. from left"	lower part	ok
L_11	11	3	6	1	SPK	VAM	exhibition	"Procession Street, left side"	Glazed Ceramic			"white tile, 2. band, ca. 90 cm (middle), 4. from left"	upper part	too low
L_12	12	3	6	2	SPK	VAM	exhibition	"Procession Street, left side"	Glazed Ceramic			"white tile, 2. band, ca. 90 cm (middle), 4. from left"	lower part	too low
L_13	13	3	7	1	SPK	VAM	exhibition	"Procession Street, left side"	Glazed Ceramic			"white tile, above back of lion (high) relief"	upper part	ok
L_14	14	3	7	2	SPK	VAM	exhibition	"Procession Street, left side"	Glazed Ceramic			"white tile, above back of lion (high)relief"	lower part	too low
L_15	15	3	8	1	SPK	VAM	exhibition	"Procession Street, left side"	Glazed Ceramic			"white tile, (very high) band"	sampling size ca. 4x2 cm;  lower part	ok
